Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,131.179993,132.970001,130.850006,132.449997,91.506264,6155300
2010-01-05,131.679993,131.850006,130.100006,130.850006,90.400902,6841400
2010-01-06,130.679993,131.490005,129.809998,130.000000,89.813629,5605300
2010-01-07,129.869995,130.250000,128.910004,129.550003,89.502716,5840600
2010-01-08,129.070007,130.919998,129.050003,130.850006,90.400902,4197200
2010-01-11,131.059998,131.059998,128.669998,129.479996,89.454376,5730400
2010-01-12,129.029999,131.330002,129.000000,130.509995,90.165970,8081500
2010-01-13,130.389999,131.119995,129.160004,130.229996,89.972527,6455400
2010-01-14,130.550003,132.710007,129.910004,132.309998,91.409561,7111800
2010-01-15,132.029999,132.889999,131.089996,131.779999,91.043396,8494400
2010-01-19,131.630005,134.250000,131.559998,134.139999,92.673851,13916200
2010-01-20,130.460007,131.149994,128.949997,130.250000,89.986359,15197500
2010-01-21,130.470001,130.690002,128.059998,129.000000,89.122757,9608600
2010-01-22,128.669998,128.889999,125.370003,125.500000,86.704697,10088600
2010-01-25,126.330002,126.889999,125.709999,126.120003,87.133049,5738500
2010-01-26,125.919998,127.750000,125.410004,125.750000,86.877396,7135300
2010-01-27,125.820000,126.959999,125.040001,126.330002,87.278122,8719200
2010-01-28,127.029999,127.040001,123.050003,123.750000,85.495674,9622200
2010-01-29,124.320000,125.000000,121.900002,122.389999,84.556068,11571200
2010-02-01,123.230003,124.949997,122.779999,124.669998,86.131271,7242900
2010-02-02,124.790001,125.809998,123.949997,125.529999,86.725449,5899900
2010-02-03,125.160004,126.070000,125.070000,125.660004,86.815239,4177100
2010-02-04,125.190002,125.440002,122.900002,123.000000,84.977531,9126900
2010-02-05,123.040001,123.720001,121.830002,123.519997,85.336769,8617000
2010-02-08,123.150002,123.220001,121.739998,121.879997,84.580322,5718500
2010-02-09,122.650002,124.199997,122.459999,123.209999,85.503304,6044500
2010-02-10,122.940002,123.650002,122.209999,122.809998,85.225723,5219100
2010-02-11,122.580002,124.199997,122.059998,123.730003,85.864197,5089000
2010-02-12,123.010002,124.050003,121.610001,124.000000,86.051529,8017700
2010-02-16,124.910004,125.230003,124.110001,125.230003,86.905128,6777300
2010-02-17,125.500000,126.529999,125.209999,126.330002,87.668495,5827400
2010-02-18,126.129997,128.000000,126.000000,127.809998,88.695549,5525900
2010-02-19,127.349998,128.059998,126.870003,127.190002,88.265297,6303100
2010-02-22,127.300003,127.430000,126.309998,126.849998,88.029350,3808100
2010-02-23,126.480003,127.660004,126.000000,126.459999,87.758698,4591900
2010-02-24,127.019997,128.270004,126.809998,127.589996,88.542862,4782000
2010-02-25,126.050003,127.239998,125.570000,127.070000,88.182030,5658700
2010-02-26,127.010002,128.000000,126.739998,127.160004,88.244499,4784200
2010-03-01,127.500000,128.830002,127.470001,128.570007,89.222969,4577700
2010-03-02,128.699997,129.089996,127.129997,127.419998,88.424904,6013300
2010-03-03,127.730003,128.020004,126.680000,126.879997,88.050156,6390000
2010-03-04,127.070000,127.070000,125.470001,126.720001,87.939148,6032300
2010-03-05,127.169998,127.550003,127.040001,127.250000,88.306938,6140200
2010-03-08,127.059998,127.500000,126.360001,126.410004,87.723999,6199300
2010-03-09,126.269997,126.290001,125.199997,125.550003,87.127213,7528800
2010-03-10,125.989998,126.360001,125.209999,125.620003,87.175774,6916200
2010-03-11,125.709999,127.809998,125.709999,127.599998,88.549805,7922200
2010-03-12,127.910004,128.369995,127.510002,127.940002,88.785759,5169500
2010-03-15,127.400002,128.339996,127.279999,127.830002,88.709435,4497700
2010-03-16,128.000000,128.880005,127.449997,128.669998,89.292374,6134900
2010-03-17,128.899994,128.929993,127.360001,127.760002,88.660858,6348400
2010-03-18,127.459999,128.750000,127.449997,128.380005,89.091118,4954400
2010-03-19,127.709999,128.929993,126.779999,127.709999,88.626152,10744300
2010-03-22,127.110001,128.389999,126.570000,127.980003,88.813515,5651900
2010-03-23,127.940002,129.429993,127.639999,129.369995,89.778152,5978500
2010-03-24,128.630005,129.949997,128.470001,128.529999,89.195213,6669300
2010-03-25,129.360001,130.729996,129.130005,129.240005,89.687912,7603200
2010-03-26,128.929993,129.779999,128.720001,129.259995,89.701820,5550800
2010-03-29,129.300003,129.949997,128.259995,128.589996,89.236816,4643000
2010-03-30,128.899994,129.130005,128.250000,128.770004,89.361740,3426600
2010-03-31,128.229996,128.750000,127.650002,128.250000,89.000916,4904800
2010-04-01,128.949997,129.309998,127.550003,128.250000,89.000916,4980500
2010-04-05,128.380005,129.800003,128.139999,129.350006,89.764259,4118700
2010-04-06,128.679993,129.300003,128.050003,128.929993,89.472816,3926300
2010-04-07,128.529999,129.270004,128.009995,128.479996,89.160492,5157000
2010-04-08,128.039993,128.229996,127.199997,127.610001,88.556770,6006900
2010-04-09,127.879997,128.869995,127.120003,128.759995,89.354805,5185100
2010-04-12,128.570007,128.960007,128.240005,128.360001,89.077225,3992300
2010-04-13,128.259995,129.429993,127.839996,129.029999,89.542168,6819100
2010-04-14,129.729996,131.419998,129.460007,131.250000,91.082787,8545800
2010-04-15,130.529999,131.139999,130.190002,130.889999,90.832947,6425300
2010-04-16,130.679993,132.169998,130.250000,130.630005,90.652557,9546200
2010-04-19,130.380005,132.279999,130.380005,132.229996,91.762856,11353700
2010-04-20,129.199997,130.330002,128.259995,129.690002,90.000214,15216500
2010-04-21,129.869995,130.270004,128.500000,128.990005,89.514435,7559200
2010-04-22,128.639999,129.360001,127.769997,129.130005,89.611572,6018500
2010-04-23,129.080002,130.100006,128.710007,129.990005,90.208412,6197300
2010-04-26,129.759995,131.039993,129.539993,130.729996,90.721893,5285400
2010-04-27,129.899994,132.000000,128.710007,128.820007,89.396469,10916700
2010-04-28,129.399994,130.470001,129.029999,130.100006,90.284729,7122300
2010-04-29,130.550003,131.210007,130.149994,130.460007,90.534576,5786900
2010-04-30,130.429993,130.639999,128.839996,129.000000,89.521362,6266700
2010-05-03,129.389999,130.139999,128.800003,129.600006,89.937729,4992100
2010-05-04,128.889999,128.929993,126.570000,128.119995,88.910660,8285000
2010-05-05,127.120003,128.229996,126.870003,127.459999,88.452682,6072800
2010-05-06,126.290001,127.930000,116.000000,123.919998,86.436813,13168800
2010-05-07,123.360001,124.389999,120.000000,122.099998,85.167328,10584800
2010-05-10,126.269997,126.669998,125.059998,126.269997,88.075996,8463900
2010-05-11,125.209999,128.419998,125.150002,126.889999,88.508469,6498900
2010-05-12,127.160004,132.850006,127.010002,132.679993,92.547127,16626900
2010-05-13,130.929993,133.100006,130.850006,131.479996,91.710098,10497800
2010-05-14,131.059998,131.669998,129.410004,131.190002,91.507820,9920100
2010-05-17,130.679993,131.759995,128.699997,130.440002,90.984665,8923400
2010-05-18,131.259995,131.990005,129.899994,129.949997,90.642876,9330000
2010-05-19,129.369995,130.500000,127.820000,128.860001,89.882599,8669300
2010-05-20,127.220001,127.959999,123.680000,123.800003,86.353142,13176500
2010-05-21,122.160004,125.610001,121.400002,125.419998,87.483124,12639500
2010-05-24,125.260002,126.019997,124.040001,124.449997,86.806519,6868600
2010-05-25,121.470001,124.949997,121.470001,124.519997,86.855324,9494800
2010-05-26,124.889999,125.940002,123.000000,123.230003,85.955544,9083200
2010-05-27,125.050003,126.389999,124.769997,126.389999,88.159714,7725900
2010-05-28,125.959999,126.279999,124.290001,125.260002,87.371498,7421900
2010-06-01,124.690002,126.879997,124.199997,124.339996,86.729797,7135400
2010-06-02,124.849998,127.500000,124.349998,127.410004,88.871162,7705300
2010-06-03,127.750000,128.220001,126.459999,127.959999,89.254845,6645300
2010-06-04,126.370003,127.099998,124.669998,125.279999,87.385460,9669200
2010-06-07,125.570000,125.860001,124.129997,124.129997,86.583275,6951400
2010-06-08,124.260002,124.459999,122.820000,123.720001,86.297295,8399200
2010-06-09,124.830002,125.839996,123.580002,123.900002,86.422874,7795500
2010-06-10,125.989998,128.220001,125.800003,127.680000,89.059509,7479700
2010-06-11,126.730003,128.800003,126.440002,128.449997,89.596626,5820200
2010-06-14,128.500000,129.970001,128.490005,128.500000,89.631485,6753000
2010-06-15,128.929993,129.949997,128.369995,129.789993,90.531281,6652500
2010-06-16,128.339996,130.679993,128.339996,130.350006,90.921883,6401000
2010-06-17,130.070007,131.029999,129.860001,130.979996,91.361336,5571000
2010-06-18,131.020004,131.250000,130.130005,130.149994,90.782387,9581400
2010-06-21,131.419998,131.940002,130.220001,130.649994,91.131149,6857800
